composer,kr_composer,songs
Yahpp,이 얍,"['Red Swan', 'Hyacinth', 'Witch Doctor #1', 'Arch of Darkness', 'Blaze Emotion (band version)']"
CYO Style,CYO Style,['Robot battle']
CYO Style & Henohenomoheji,CYO Style & Henohenomoheji,['You again my love']
V.A.,V.A.,['Pavane']
SQUAR,SQUAR,['Mental Rider']
Coconut,Coconut,"['Kitty Cat', 'Ladybug']"
SID-SOUND ,시드사운드,['STEP']
DJ Counterforce,DJ Counterforce,['Heart Attack']
ZiGZaG,ZiGZaG,['VVV']
Vesuvia x REDSHiFT,Vesuvia x REDSHiFT,['Karyawisata']
A.V.,A.V.,['Night Duty']
Yassi Pressman,야시 프레스먼,['Lala']
Banya,반야,"['Canon D - FULL SONG -', 'Winter - SHORT CUT -', 'Witch Doctor - SHORT CUT -', 'Extravaganza - SHORT CUT -', 'Love is a Danger Zone pt. 2 - SHORT CUT -', 'Love is a Danger Zone - SHORT CUT -', 'CHICKEN WING - SHORT CUT -', 'EXTRA BanYa Remix', 'Moonlight - SHORT CUT -', 'Solitary 2 - SHORT CUT -', 'Exceed2 Opening - SHORT CUT -', 'Final Audition 2 - SHORT CUT -', 'Final Audition 3 - SHORT CUT -']"
MAZO,MAZO,"['Break It Down', 'Hey U']"
Yassi Pressman & Nadine Lustre,야시 프레스먼 & 나딘 러스트레,"['HUSH', 'HUSH - FULL SONG -']"
Aragon,아라곤,['Visual Dream II (In Fiction)']
MAX & MEMME,맥스 & 맴매,['Avalanquiem']
Nato & EXC,나토 & EXC,['Shub Sothoth']
Banya & Warak,반야 & 와락,['Beethoven Influenza']
Doin & MAX,도인 & 맥스,['What Are You Doin?']
msgoon,엠.에스.군,"['Betrayer -act.2-', 'msgoon RMX pt.6']"
SynthWulf & MAX,SynthWulf & 맥스,['Infinity RMX']
