song,version,song_type,kr_song,kr_song_proxy
PRIME,PRIME - PRIME 2,Arcade,프라임,프라임
Love is a Danger Zone,1st - Zero,Arcade,러브 이즈 어 데인저 존,러브 이즈 어 댄저 존
Awakening,PRIME - PRIME 2,Arcade,어웨이크닝,어웨이크닝
God Mode feat. Skizzo,PRIME - PRIME 2,Arcade,갓 모드 feat. Skizzo,갓 모드 feat. Skizzo
Christmas Memories,PRIME - PRIME 2,Arcade,크리스마스의 기억,크리스마스의 기억
Necromancy,FIESTA - FIESTA 2,Arcade,네크로맨시,네크로맨시
Black Swan,XX,Arcade,블랙스완,블랙스완
Transacaglia in G-minor,XX,Arcade,트란사칼리아,트란사칼리아
Danger & Danger,XX,Arcade,데인저 & 데인저,댄저 & 댄저
Point Zero One,PRIME - PRIME 2,Arcade,포인트 제로 원,포인트 제로 원
Rolling Christmas,1st - Zero,Arcade,롤링 크리스마스,롤링 크리스마스
Rage of Fire,XX,Arcade,레이지 오브 파이어,레이지 오브 파이어
THE REVOLUTION,PRIME - PRIME 2,Arcade,더 레볼루션,더 레볼루션
Campanella,PRIME - PRIME 2,Arcade,캄파넬라,캄파넬라
Love is a Danger Zone pt. 2,1st - Zero,Arcade,러브 이즈 어 데인저 존 pt.2,러브 이즈 어 댄저 존 pt.2
Nihilism - Another Ver.-,XX,Arcade,니힐리즘 - 어나더 버전 -,니힐리즘 - 어나더 버전 -
Butterfly,FIESTA - FIESTA 2,Arcade,버터플라이,버터플라이
Prime Time,XX,Remix,프라임 타임,프라임 타임
Ugly Dee,NX - NXA,Arcade,미운 오리새끼,미운 오리새끼
Red Snow,PRIME - PRIME 2,Arcade,레드 스노우,레드 스노우
Bee,1st - Zero,Arcade,비,비
Feel My Happiness,PRIME - PRIME 2,Arcade,필 마이 해피니스,필 마이 해피니스
Moonlight,1st - Zero,Arcade,월광,월광
Gothique Resonance,PRIME - PRIME 2,Arcade,고딕 레조넌스,고딕 레조넌스
Can-can ~Orpheus in The Party Mix~ - SHORT CUT -,XX,Short Cut,캉-캉 ~Orpheus in The Party Mix~ - SHORT CUT -,캉캉 캉 캉 오르페우스 숏컷 캉숏
Stardust Overdrive,PRIME - PRIME 2,Arcade,스타더스트 오버드라이브,스타더스트 오버드라이브
Cycling!,XX,Arcade,싸이클링!,사이클링
Destination,FIESTA - FIESTA 2,Arcade,데스티네이션,데스티네이션
Cutie Song,XX,Arcade,일 더하기 일은 귀요미,일 더하기 일은 귀요미
Imagination,XX,Arcade,이미지네이션,이미지네이션
Utsushiyo No Kaze feat. Kana,PRIME - PRIME 2,Arcade,우츠시요 노 카제 feat. Kana,우츠시요 노 카제 feat. Kana
Donatello,PRIME - PRIME 2,Arcade,도나텔로,도나텔로
La Cinquantaine,XX,Arcade,금혼식,금혼식
Fallen Angel,PRIME - PRIME 2,Arcade,폴른 엔젤,폴른 엔젤
Asterios -ReEntry-,PRIME - PRIME 2,Arcade,아스테리오스 -리엔트리-,아스테리오스 -리엔트리-
Turkey March -Minimal Tunes-,FIESTA - FIESTA 2,Arcade,터키 행진곡 -미니멀튠즈-,터키 행진곡 미니멀튠즈
