song,composer,kr_song,kr_song_proxy
Xuxa,Smiley,슈샤,슈샤
Lepton Strike,Nato,립톤 스트라이크,립톤 스트라이크
Your Mind,Roy Mikelate,유어 마인드,유어 마인드
MATADOR,Cranky,마타도르,마타도르
Poseidon,Quree,포세이돈,포세이돈
What Happened,Throwdown,왓 해픈드,왓 해픈드
Pump Me Amadeus,BanYa,펌프 미 아마데우스,펌프 미 아마데우스
Waltz of Doge,Cashew,왈츠 오브 도지,왈츠 오브 도지
JANUS,MAX,야누스,야누스
Reminiscence,MAX,레미니센스,레미니센스
Wicked Legend,D_AAN,위키드 레전드,위키드 레전드
PRIME,Tatsh,프라임,프라임
Love is a Danger Zone,BanYa,러브 이즈 어 데인저 존,러브 이즈 어 댄저 존
Awakening,typeMARS,어웨이크닝,어웨이크닝
God Mode feat. Skizzo,Nato,갓 모드 feat. Skizzo,갓 모드 feat. Skizzo
Christmas Memories,Warak,크리스마스의 기억,크리스마스의 기억
Necromancy,Zircon,네크로맨시,네크로맨시
Black Swan,zeron,블랙스완,블랙스완
Transacaglia in G-minor,ATAS,트란사칼리아,트란사칼리아
Danger & Danger,Cranky,데인저 & 데인저,댄저 & 댄저
Point Zero One,SynthWulf,포인트 제로 원,포인트 제로 원
Rolling Christmas,BanYa,롤링 크리스마스,롤링 크리스마스
Rage of Fire,MAX,레이지 오브 파이어,레이지 오브 파이어
THE REVOLUTION,MAX & DOOM,더 레볼루션,더 레볼루션
Campanella,Cashew,캄파넬라,캄파넬라
Love is a Danger Zone pt. 2,BanYa,러브 이즈 어 데인저 존 pt.2,러브 이즈 어 댄저 존 pt.2
Nihilism - Another Ver.-,Nato,니힐리즘 - 어나더 버전 -,니힐리즘 - 어나더 버전 -
Butterfly,MAX & Rorychesell(SID-SOUND),버터플라이,버터플라이
Prime Time,Cashew,프라임 타임,프라임 타임
Ugly Dee,Banya Production,미운 오리새끼,미운 오리새끼
Red Snow,Cashew,레드 스노우,레드 스노우
Bee,BanYa,비,비
Feel My Happiness,3R2,필 마이 해피니스,필 마이 해피니스
Moonlight,BanYa,월광,월광
Gothique Resonance,P4Koo,고딕 레조넌스,고딕 레조넌스
Can-can ~Orpheus in The Party Mix~ - SHORT CUT -,Sr. Lan Belmont,캉-캉 ~Orpheus in The Party Mix~ - SHORT CUT -,캉캉 캉 캉 오르페우스 숏컷 캉숏
Stardust Overdrive,typeMARS,스타더스트 오버드라이브,스타더스트 오버드라이브
Cycling!,Yamajet,싸이클링!,사이클링
Destination,SHK,데스티네이션,데스티네이션
Cutie Song,Memme,일 더하기 일은 귀요미,일 더하기 일은 귀요미
Imagination,SHK,이미지네이션,이미지네이션
Utsushiyo No Kaze feat. Kana,void,우츠시요 노 카제 feat. Kana,우츠시요 노 카제 feat. Kana
Donatello,Triplestar,도나텔로,도나텔로
La Cinquantaine,Pory,금혼식,금혼식
Fallen Angel,DM Ashura,폴른 엔젤,폴른 엔젤
Asterios -ReEntry-,ATAS ,아스테리오스 -리엔트리-,아스테리오스 -리엔트리-
Turkey March -Minimal Tunes-,Banya Production,터키 행진곡 -미니멀튠즈-,터키 행진곡 미니멀튠즈
Fires of Destiny,Jehezukiel,파이어 오브 데스티니,파이어 오브 데스티니
Phantom -Intermezzo-,Banya Production,팬텀 -인터메조-,팬텀 인터메조
Pop The Track,J-Mi & Midi-D & Ft. Hanna Stockzell,팝 더 트랙,팝 더 트랙
Paradoxx,SLAM & NATO,패러독스,패러독스
Jonathan's Dream,MAX&Seorryang(SID-SOUND),조나단의 꿈,조나단의 꿈
Clue,Transin,클루,클루
Final Audition,BanYa,파이널 오디션,파이널 오디션
Witch Doctor,BanYa,위치 닥터,위치 닥터
Star Command,Zircon,스타 커맨드,스타 커맨드
Redline,Archefluxx,레드라인,레드라인
Orbit Stabilizer,DM Ashura,오르비트 스테빌라이저,오르빗 스테빌라이저
HELIX,ESTi,헬릭스,헬릭스
Napalm,Doin,네이팜,네이팜
U Got Me Rocking,MAX,유 갓 미 락킹,유 갓 미 락킹
Dr. M,BanYa,닥터 엠,닥터 엠
Faster Z,YAHPP,패스터 Z,패스터지
Dream To Nightmare,Nightmare,드림 투 나이트메어,드림 투 나이트메어
Final Audition Ep. 2-2,YAHPP,파이널 오디션 에피소드 2-2,파이널 오디션 에피소드 2-2
Tritium,Memme,트리튬,트리튬
ERRORCODE: 0,DOIN && SUNNY,에러코드: 0,에러코드0
Super Stylin',Warak,슈퍼 스타일린,슈퍼 스타일린
Force of Ra,Memme,포스 오브 라,포스 오브 라
Vook,BanYa,부크,부크
Smells Like A Chocolate,Vospi,스멜스 라이크 어 초콜릿,스멜스 라이크 어 초콜릿
Tepris,Doin,테프리스,테프리스
%X (Percent X),Pory,퍼센트 엑스,퍼센트 엑스
Radetzky Can Can,BanYa,라젠스키 캉캉,라젠스키 캉캉
Mitotsudaira,ETIA.,미토츠다이라,미토츠다이라
Hyperion,M2U,히페리온,히페리온
God Mode 2.0 feat. Skizzo,Nato,갓 모드 2.0 feat. Skizzo,갓 모드 2.0 feat. Skizzo
Chinese restaurant,Memme,차이니즈 레스토랑,차이니즈 레스토랑
Monolith,Affinity,모노리스,모노리스
Rave'til the earth's end,5argon,레이브 언틸 디 어스 엔드,레이브 언틸 디 어스 엔드
Baroque Virus - FULL SONG -,Zircon,바로크 바이러스 - FULL SONG -,풀로크
Tribe Attacker,Hi-G,트라이브 어택커,트라이브 어태커
Up & Up (Produced by AWAL),Skizzo,업 앤 업 (Produced by AWAL),업앤업
ヨロピク ピクヨロ！Yoropiku Pikuyoro !,バクステ外神田一丁目 Bakusute Sotokanda Icchome,요로피쿠 피쿠요로 !,요로피쿠 피쿠요로 !
Hypnosis(SynthWulf Mix),BanYa & SynthWulf,힙노시스(SynthWulf 믹스),힙노시스(SynthWulf 믹스)
Allegro Con Fuoco - FULL SONG -,DM Ashura,알레그로 콘 뿌오코 - FULL SONG -,풀레그로
Will-O-The-Wisp,BanYa,윌 오 더 위스프,윌 오 더 위습
Over The Horizon,Yamajet,오버 더 호라이즌,오버 더 호라이즌
Blazing,BanYa,블레이징,블레이징
Cannon X.1,YAHPP,캐논 X.1,캐논 X.1
DJ Otada,Banya Production,디제이 오타다,디제이 오타다
Removable Disk0,Doin,리무버블 디스코,리무버블 디스코
Papa Gonzales,BanYa,파파 곤잘레스,파파 곤잘레스
FFF,Doin,에프 에프 에프,에프 에프 에프
甘い誘惑デインジャラスAmai Yuuwaku Dangerous,バクステ外神田一丁目 Bakusute Sotokanda Icchome,아마이 유우와쿠 데인저러스,아마이 유우와쿠 댄저러스
Requiem,MAX,레퀴엠,레퀴엠
Start On RED,nato,스타트 온 레드,스타트 온 레드
Log In,SHK,로그인,로그인
Phantom,BanYa,팬텀,팬텀
Hestia,Gentle Stick,헤스티아,헤스티아
video out c,Vospi,비디오 아웃 씨,비디오 아웃 씨
Arirang,Banya Production,아리랑,아리랑
Mad5cience,Paul Bazooka,매드 사이언스,매드 사이언스
Move That Body!,DM Ashura feat. Skizzo & Hanna,무브 댓 바디!,무브 댓 바디!
