index,song,kr_song,kr_song_proxy,composer,kr_composer,bpm,main_bpm,version,song_type
CS651,CROSS SOUL,크로스 소울,크로스 소울,HyuN feat. Syepias,HyuN feat. Syepias,200,200,XX,Arcade
CS299,Forgotten Vampire,포가튼 뱀파이어,포가튼 뱀파이어,WyvernP,WyvernP,137,137,XX,Arcade
CS213,Rock the house,락 더 하우스,락 더 하우스,Matduke,Matduke,175,175,PRIME - PRIME 2,Arcade
CS331,The Reverie,더 레버리,더 레버리,uma,uma vs. Morimori Atsushi,150,150,XX,Arcade
CS325,DESTRUCIMATE,파괴,파괴,KURORAK,KURORAK,193,193,XX,Arcade
CS667,CO5M1C R4ILR0AD,코스믹 레일로드,코스믹 레일로드,kanone,kanone,155,155,PHOENIX,Arcade
CS336,Repentance,리펜턴스,리펜턴스,Abel,Abel,240,240,XX,Arcade
CS252,Le Grand Bleu,라 그랑 블루,라 그랑 블루,KIEN,KIEN,165,165,PRIME - PRIME 2,Arcade
CS031,Winter,윈터,윈터,BanYa,반야,168,168,1st - Zero,Arcade
CS289,Loki,로키,로키,Lotze,로체,140,140,XX,Arcade
FS601,Gargoyle - FULL SONG -,가고일 - FULL SONG -,풀고일,Sanxion7,Sanxion7,150,150,N/A,Full Song
CS648,Club Night,클럽 나이트,클럽 나이트,Matduke,Matduke,170,170,XX,Arcade
CS022,Csikos Post,우편마차,우편마차,BanYa,반야,180,180,1st - Zero,Arcade
CS334,Sugar Plum,슈가 플럼,슈가 플럼,Mr. Weq,Mr. Weq,170,170,XX,Arcade
CS800,Another Truth,또다른 진심,또다른 진심,Novasonic,노바소닉,136,136,1st - Zero,Arcade
CS127,Cleaner,클리너,클리너,Doin,Doin,203,203,FIESTA - FIESTA 2,Arcade
CS271,The Quick Brown Fox Jumps Over The Lazy Dog,다람쥐 헌 쳇바퀴에 타고파,다람쥐 헌 쳇바퀴에 타고파,Doin,Doin,200,200,PRIME - PRIME 2,Arcade
CS279,Skeptic,스켑틱,스켑틱,Doin,Doin,200.1,200.1,XX,Arcade
CS012,Mr. Larpus,미스터 라푸스,미스터 라푸스,BanYa,반야,190,190,1st - Zero,Arcade
CS617,Passacaglia,파사칼리아,파사칼리아,SynthWulf,SynthWulf,175,175,FIESTA - FIESTA 2,Arcade
CS151,Ignis Fatuus(DM Ashura Mix),이그니스 패터스(DM Ashura 믹스),이그니스 패터스(DM Ashura 믹스),BanYa & DM Ashura,반야 & DM Ashura,220,220,FIESTA - FIESTA 2,Arcade
CS175,Avalanche,아발란치,아발란치,Memme,맴매,175,175,PRIME - PRIME 2,Arcade
CS220,Hellfire,헬파이어,헬파이어,Memme,맴매,170,170,PRIME - PRIME 2,Arcade
CS335,Telling Fortune Flower,텔링 포츈 플라워,텔링 포츈 플라워,Koharu feat. Renyata,Koharu feat. Renyata,200,200,XX,Arcade
CS807,Timing,타이밍,타이밍,HIGHTEEN,하이틴,164,164,XX,Arcade
CS337,Cygnus,시그너스,시그너스,nato,나토,188,188,XX,Arcade
CS172,Yog-Sothoth,요그 소토스,요그 소토스,Nato,나토,200,200,PRIME - PRIME 2,Arcade
CS233,Twist of Fate (feat. Ruriling),트위스트 오브 페이트 (feat. Ruriling),트위스트 오브 페이트 (feat. Ruriling),Jehezukiel,Jehezukiel☆KAZEMURA☆Hideky,141,141,PRIME - PRIME 2,Arcade
CS223,Further,퍼더,퍼더,Doin,Doin,194,194,PRIME - PRIME 2,Arcade
CS119,The Devil,마왕,마왕,Banya Production,반야 프로덕션,130-240,130-240,FIESTA - FIESTA 2,Arcade
CS801,Slam,슬램,슬램,Novasonic,노바소닉,131.99,131.99,1st - Zero,Arcade
FS650,8 6 - FULL SONG -,8 6 - FULL SONG -,86 풀,DASU,DASU,167,167,N/A,Full Song
CS637,Just Hold On (To All Fighters),저스트 홀드 온 (To All Fighters),젓솔돈,void,void,170,170,PRIME - PRIME 2,Arcade
CS191,1950,1950,1950,SLAM,슬램,200,200,PRIME - PRIME 2,Arcade
CS124,Take Out,테이크 아웃,테이크 아웃,SHK,SHK,170,170,FIESTA - FIESTA 2,Arcade
CS162,Windmill,윈드밀,윈드밀,Yak Won,약 원,246,246,FIESTA - FIESTA 2,Arcade
CS316,Like Me,라이크 미,라이크 미,SHK,SHK,155,155,PRIME - PRIME 2,Arcade
CS009,Turkey March,터키 행진곡,터키 행진곡,BanYa,반야,150,150,1st - Zero,Arcade
CS653,After a thousand years,천년이 지나서,천년이 지나서,TOTO,TOTO,180,180,XX,Arcade
CS219,Super Capriccio,슈퍼 카프리시오,슈퍼 카프리시오,SHK,SHK,150,150,PRIME - PRIME 2,Arcade
CS304,Tales of Pumpnia,테일즈 오브 펌프니아,테일즈 오브 펌프니아,Applesoda,애플소다,200,200,XX,Arcade
CS196,Scorpion King,스콜피온 킹,스콜피온 킹,r300k,r300k,113,113,PRIME - PRIME 2,Arcade
CS326,Clematis Rapsodia,클레마티스 랩소디아,클레마티스 랩소디아,Jehezukiel,Jehezukiel☆KAZEMURA☆Hideky,260,260,XX,Arcade
CS288,Obelisque,오벨리스크,오벨리스크,ESTi x M2U,ESTi x M2U,130,130,XX,Arcade
CS109,Vacuum,진공,진공,Doin,Doin,200,200,FIESTA - FIESTA 2,Arcade
CS333,Harmagedon,아마겟돈,아마겟돈,HyuN vs lixound,HyuN vs lixound,194,194,XX,Arcade
CS609,Hardkore of the North,하드코어 오브 더 노스,하드코어 오브 더 노스,Diclonius Kid,Diclonius Kid,190,190,FIESTA - FIESTA 2,Arcade
CS236,Travel to future,트래블 투 퓨처,트레벨 투 퓨처,Neutral Moon,뉴트럴 문,160,160,PRIME - PRIME 2,Arcade
CS660,POINT ZERO 2,포인트 제로 2,포인트 제로 2,SYNTHWULF,SynthWulf,170,170,XX,Arcade
CS309,Uranium,우라늄,우라늄,Memme,맴매,170,170,XX,Arcade
CS029,Till the end of time,틸 디 엔드 오브 타임,틸 디 엔드 오브 타임,BanYa,반야,140,140,1st - Zero,Arcade
CS194,Annihilator Method,어나이얼레이터 메소드,어나이얼레이터 메소드,DM Ashura,DM Ashura,192,192,PRIME - PRIME 2,Arcade
CS322,Iolite Sky,아이올라이트 스카이,아이올라이트 스카이,Doin,Doin,90,90,XX,Arcade
CS150,Love Is A Danger Zone(Cranky Mix),러브 이즈 어 데인저 존(Cranky 믹스),러브 이즈 어 댄저 존(Cranky 믹스),BanYa & Cranky,반야 & Cranky,155,155,FIESTA - FIESTA 2,Arcade
CS662,Life is PIANO,라이프 이즈 피아노,라이프 이즈 피아노,Junk,Junk,133,133,XX,Arcade
CS302,Rising Star,라이징 스타,라이징 스타,M2U,ESTi x M2U,140,140,XX,Arcade
CS602,Allegro Con Fuoco,알레그로 콘 뿌오코,알레그로 콘 뿌오코,DM Ashura,DM Ashura,156,156,FIESTA - FIESTA 2,Arcade
CS328,Headless Chicken,헤드리스 치킨,헤드리스 치킨,r300k,r300k,90.5,90.5,XX,Arcade
SS342,Euphorianic - SHORT CUT -,유포리아닉 - SHORT CUT -,유포리아닉 - SHORT CUT -,SHK,SHK,140,140,N/A,Short Cut
CS330,Houseplan,하우스플랜,하우스플랜,Houseplan,하우스플랜,128,128,XX,Arcade
CS632,Smile Diary,스마일 다이어리,스마일 다이어리,you,you,175,175,PRIME - PRIME 2,Arcade
CS293,1949,1949,1949,SLAM,슬램,220,220,XX,Arcade
CS001,Extravaganza,엑스트라바간자,해파리,BanYa,반야,195,195,1st - Zero,Arcade
CS253,INFINITY,인피니티,인피니티,Lunatic Sounds,루나틱 사운즈,175,175,PRIME - PRIME 2,Arcade
CS277,I Want U,아이 원트 유,아이 원트 유,MAX,MAX,156,156,XX,Arcade
N/A,Desaparecer,데사파레세르,데사파레세르,Applesoda vs MAX,애플소다 vs 맥스,N/A,N/A,N/A,Remix
CS226,Kasou Shinja仮装信者,가장신자,가장신자,MAX,MAX,170,170,PRIME - PRIME 2,Arcade
CS292,Xeroize,제로아이즈,제로아이즈,FE,Dasu feat. 카가미네 렌,200,200,XX,Arcade
CS247,Death Moon,사월,사월,SHK,SHK,160,160,PRIME - PRIME 2,Arcade
CS630,Sudden Romance [PIU Edit],서든 로맨스 [PIU Edit],서든 로맨스 [PIU Edit],void,void,152,152,PRIME - PRIME 2,Arcade
CS643,Pop Sequence,팝 시퀀스,팝 시퀀스,Hommarju,t+pazolite+Ginkiha+Hommarju,110,110,XX,Arcade
CS635,Queen Of The Red,퀸 오브 더 레드,퀸 오브 더 레드,ETIA.,ETIA.,188,188,PRIME - PRIME 2,Arcade
CS291,Ice of Death,아이스 오브 데스,아이스 오브 데스,Fiverwater,Fiverwater,172,172,XX,Arcade
CS285,Kimchi Fingers,김치 핑거즈,김치 핑거즈,Garlic Squad,Garlic Squad,190,190,XX,Arcade
CS228,Arcana Force,아르카나 포스,아르카나 포스,mzet:-P,mzet:-P,175,175,PRIME - PRIME 2,Arcade
CS168,Nemesis,네메시스,네메시스,M2U,ESTi x M2U,160,160,PRIME - PRIME 2,Arcade
CS320,Adrenaline Blaster,아드레날린 블래스터,아드레날린 블래스터,QWertism,QWertism,150,150,XX,Arcade
CS652,Broken Karma (PIU EDIT),브로큰 카르마 (PIU EDIT),브로큰 카르마 (PIU EDIT),Quree,Quree,180,180,XX,Arcade
CS641,Slapstick Parfait,슬랩스틱 파르페,슬랩스틱 파르페,t+pazolite,N/A,160,160,XX,Arcade
CS303,CARMEN BUS,까르멘 버스,까르멘 버스,StaticSphere & FUGU SUISAN,스태틱스피어 & 복어수산,170,170,XX,Arcade
CS234,HTTP,HTTP,HTTP,Quree,Quree,147,147,PRIME - PRIME 2,Arcade
CS623,Ragnarok,라그나로크,라그나로크,SynthWulf,SynthWulf,170,170,PRIME - PRIME 2,Arcade
CS239,V3,V3,V3,BeautifulDay,뷰티풀데이,160,160,PRIME - PRIME 2,Arcade
CS204,Moment Day,모멘트 데이,모멘트 데이,MAX,MAX,158,158,PRIME - PRIME 2,Arcade
FS633,Bad Apple!! feat. Nomico - FULL SONG -,배드 애플!! feat. Nomico - FULL SONG -,배드 애플!! feat. Nomico - FULL SONG -,Masayoshi Minoshima,Masayoshi Minoshima,138,138,N/A,Full Song
CS254,BEDLAM,베들램,베들램,SANY-ON,SANY-ON,183,183,PRIME - PRIME 2,Arcade
CS319,District 1,디스트릭트 1,디스트릭트 1,MAX,MAX,158,158,XX,Arcade
CS321,Dual Racing <RED vs BLUE>,듀얼 레이싱 <레드 vs 블루>,듀얼 레이싱 <레드 vs 블루>,Nato & r300k,나토 & r300k,165,165,XX,Arcade
CS125,Reality,리얼리티,리얼리티,SHK,SHK,135,135,FIESTA - FIESTA 2,Arcade
CS298,The End of the World ft. Skizzo,디 엔드 오브 더 월드 ft. Skizzo,디 엔드 오브 더 월드 ft. Skizzo,MonstDeath,MonstDeath,150,150,XX,Arcade
CS048,CHICKEN WING,치킨 윙,치킨 윙,BanYa,반야,200,200,1st - Zero,Arcade
CS229,Allegro furioso,알레그로 퓨리오소,알레그로 퓨리오소,DM ashura,DM Ashura,176,176,PRIME - PRIME 2,Arcade
CS080,Pumptris Quattro,펌트리스 꽈뜨로,펌트리스 꽈뜨로,YAHPP,이 얍,153,153,NX - NXA,Arcade
CS618,Baroque Virus,바로크 바이러스,바로크 바이러스,Zircon,Zircon,135,135,FIESTA - FIESTA 2,Arcade
CS241,The Festival of Ghost2 (Sneak),유령의 축제 2 (Sneak),유령의 축제 2 (Sneak),Brandy,브랜디,136,136,PRIME - PRIME 2,Arcade
CS613,Xuxa,슈샤,슈샤,Smiley,Smiley,160,160,FIESTA - FIESTA 2,Arcade
CS308,Lepton Strike,립톤 스트라이크,립톤 스트라이크,Nato,나토,183,183,XX,Arcade
CS310,Your Mind,유어 마인드,유어 마인드,Roy Mikelate,Roy Mikelate,180,180,XX,Arcade
CS212,MATADOR,마타도르,마타도르,Cranky,Cranky,168,168,PRIME - PRIME 2,Arcade
CS283,Poseidon,포세이돈,포세이돈,Quree,Quree,160,160,XX,Arcade
CS600,What Happened,왓 해픈드,왓 해픈드,Throwdown,Throwdown,130,130,FIESTA - FIESTA 2,Arcade
CS051,Pump Me Amadeus,펌프 미 아마데우스,펌프 미 아마데우스,BanYa,반야,170,170,1st - Zero,Arcade
CS267,Waltz of Doge,왈츠 오브 도지,왈츠 오브 도지,Cashew,Yakikaze & Cashew,250,250,PRIME - PRIME 2,Arcade
